DATE,AGE_GROUP,CASE_COUNT
2020-12-29,45-64,179495
2020-12-29,65-74,38196
2020-12-29,75+,32978
2020-12-28,0-17,25506
2020-12-28,18-44,154458
2020-12-28,45-64,177696
2020-12-28,65-74,37895
2020-12-28,75+,32797
2020-12-27,0-17,25165
2020-12-27,18-44,153329
2020-12-27,45-64,176661
2020-12-27,65-74,37706
2020-12-27,75+,32637
2020-12-26,0-17,24864
2020-12-26,18-44,152193
2020-12-26,45-64,175521
2020-12-26,65-74,37448
2020-12-26,75+,32415
2020-12-25,0-17,24431
2020-12-25,18-44,150726
2020-12-25,45-64,174224
2020-12-25,65-74,37186
2020-12-25,75+,32201
2020-12-24,0-17,23981
2020-12-24,18-44,149198
2020-12-24,45-64,172746
2020-12-24,65-74,36904
2020-12-24,75+,31981
2020-12-23,0-17,23495
2020-12-23,18-44,147548
2020-12-23,45-64,171069
2020-12-23,65-74,36618
2020-12-23,75+,31747
2020-12-22,0-17,23076
2020-12-22,18-44,146075
2020-12-22,45-64,169719
2020-12-22,65-74,36354
2020-12-22,75+,31578
2020-12-21,0-17,22769
2020-12-21,18-44,144847
2020-12-21,45-64,168523
2020-12-21,65-74,36128
2020-12-21,75+,31415
2020-12-20,0-17,22443
2020-12-20,18-44,143581
2020-12-20,45-64,167332
2020-12-20,65-74,35901
2020-12-20,75+,31260
2020-12-19,0-17,22157
2020-12-19,18-44,142490
2020-12-19,45-64,166376
2020-12-19,65-74,35727
2020-12-19,75+,31145
2020-12-18,0-17,21840
2020-12-18,18-44,141333
2020-12-18,45-64,165211
2020-12-18,65-74,35496
2020-12-18,75+,30987
2020-12-17,0-17,21328
2020-12-17,18-44,139592
2020-12-17,45-64,163561
2020-12-17,65-74,35196
2020-12-17,75+,30775
2020-12-16,0-17,21044
2020-12-16,18-44,138412
2020-12-16,45-64,162497
2020-12-16,65-74,34965
2020-12-16,75+,30625
2020-12-15,0-17,20728
2020-12-15,18-44,137283
2020-12-15,45-64,161503
2020-12-15,65-74,34755
2020-12-15,75+,30415
2020-12-14,0-17,20266
2020-12-14,18-44,135794
2020-12-14,45-64,160077
2020-12-14,65-74,34501
2020-12-14,75+,30309
2020-12-13,0-17,19946
2020-12-13,18-44,134708
2020-12-13,45-64,159116
2020-12-13,65-74,34321
2020-12-13,75+,30158
2020-12-12,0-17,19602
2020-12-12,18-44,133494
2020-12-12,45-64,158041
2020-12-12,65-74,34091
2020-12-12,75+,30021
2020-12-11,0-17,19180
2020-12-11,18-44,132000
2020-12-11,45-64,156758
2020-12-11,65-74,33827
2020-12-11,75+,29880
2020-12-10,0-17,18802
2020-12-10,18-44,130814
2020-12-10,45-64,155654
2020-12-10,65-74,33618
2020-12-10,75+,29731
2020-12-09,0-17,18486
2020-12-09,18-44,129552
2020-12-09,45-64,154653
2020-12-09,65-74,33426
2020-12-09,75+,29592
2020-12-08,0-17,18095
2020-12-08,18-44,128363
2020-12-08,45-64,153612
2020-12-08,65-74,33221
2020-12-08,75+,29495
2020-12-07,0-17,17702
2020-12-07,18-44,127066
2020-12-07,45-64,152493
2020-12-07,65-74,33036
2020-12-07,75+,29386
2020-12-06,0-17,17384
2020-12-06,18-44,125990
2020-12-06,45-64,151572
2020-12-06,65-74,32859
2020-12-06,75+,29265
2020-12-05,0-17,17070
2020-12-05,18-44,124890
2020-12-05,45-64,150585
2020-12-05,65-74,32669
2020-12-05,75+,29121
2020-12-04,0-17,16765
2020-12-04,18-44,123657
2020-12-04,45-64,149555
2020-12-04,65-74,32497
2020-12-04,75+,28999
2020-12-03,0-17,16339
2020-12-03,18-44,122350
2020-12-03,45-64,148391
2020-12-03,65-74,32296
2020-12-03,75+,28862
2020-12-02,0-17,16064
2020-12-02,18-44,121065
2020-12-02,45-64,147375
2020-12-02,65-74,32113
2020-12-02,75+,28747
2020-12-01,0-17,15763
2020-12-01,18-44,119916
2020-12-01,45-64,146362
2020-12-01,65-74,31946
2020-12-01,75+,28631
2020-11-30,0-17,15486
2020-11-30,18-44,118894
2020-11-30,45-64,145384
2020-11-30,65-74,31749
2020-11-30,75+,28546
2020-11-29,0-17,15226
2020-11-29,18-44,117870
2020-11-29,45-64,144526
2020-11-29,65-74,31591
2020-11-29,75+,28428
2020-11-28,0-17,15081
2020-11-28,18-44,117233
2020-11-28,45-64,144008
2020-11-28,65-74,31509
2020-11-28,75+,28353
2020-11-27,0-17,14843
2020-11-27,18-44,116295
2020-11-27,45-64,143237
2020-11-27,65-74,31377
2020-11-27,75+,28256
2020-11-26,0-17,14585
2020-11-26,18-44,115348
2020-11-26,45-64,142492
2020-11-26,65-74,31254
2020-11-26,75+,28177
2020-11-25,0-17,14377
2020-11-25,18-44,114351
2020-11-25,45-64,141705
2020-11-25,65-74,31124
2020-11-25,75+,28073
2020-11-24,0-17,14229
2020-11-24,18-44,113674
2020-11-24,45-64,141193
2020-11-24,65-74,31033
2020-11-24,75+,28019
2020-11-23,0-17,14066
2020-11-23,18-44,112975
2020-11-23,45-64,140674
2020-11-23,65-74,30939
2020-11-23,75+,27958
2020-11-22,0-17,13888
2020-11-22,18-44,112148
2020-11-22,45-64,140002
2020-11-22,65-74,30817
2020-11-22,75+,27880
2020-11-21,0-17,13733
2020-11-21,18-44,111436
2020-11-21,45-64,139404
2020-11-21,65-74,30727
2020-11-21,75+,27832
2020-11-20,0-17,13518
2020-11-20,18-44,110635
2020-11-20,45-64,138829
2020-11-20,65-74,30619
2020-11-20,75+,27769
2020-11-19,0-17,13337
2020-11-19,18-44,109927
2020-11-19,45-64,138278
2020-11-19,65-74,30513
2020-11-19,75+,27702
2020-11-18,0-17,13143
2020-11-18,18-44,109166
2020-11-18,45-64,137684
2020-11-18,65-74,30420
2020-11-18,75+,27654
2020-11-17,0-17,12981
2020-11-17,18-44,108572
2020-11-17,45-64,137133
2020-11-17,65-74,30338
2020-11-17,75+,27579
2020-11-16,0-17,12812
2020-11-16,18-44,107750
2020-11-16,45-64,136519
2020-11-16,65-74,30239
2020-11-16,75+,27518
2020-11-15,0-17,12692
2020-11-15,18-44,107263
2020-11-15,45-64,136156
2020-11-15,65-74,30163
2020-11-15,75+,27467
2020-11-14,0-17,12482
2020-11-14,18-44,106548
2020-11-14,45-64,135561
2020-11-14,65-74,30065
2020-11-14,75+,27401
2020-11-13,0-17,12282
2020-11-13,18-44,105957
2020-11-13,45-64,135111
2020-11-13,65-74,29975
2020-11-13,75+,27343
2020-11-12,0-17,12121
2020-11-12,18-44,105375
2020-11-12,45-64,134649
2020-11-12,65-74,29901
2020-11-12,75+,27309
2020-11-11,0-17,11959
2020-11-11,18-44,104837
2020-11-11,45-64,134194
2020-11-11,65-74,29823
2020-11-11,75+,27258
2020-11-10,0-17,11832
2020-11-10,18-44,104327
2020-11-10,45-64,133829
2020-11-10,65-74,29763
2020-11-10,75+,27231
2020-11-09,0-17,11720
2020-11-09,18-44,103861
2020-11-09,45-64,133494
2020-11-09,65-74,29702
2020-11-09,75+,27201
2020-11-08,0-17,11637
2020-11-08,18-44,103576
2020-11-08,45-64,89315
2020-11-08,65-74,29671
2020-11-08,75+,27189
2020-11-07,0-17,11532
2020-11-07,18-44,103266
2020-11-07,45-64,89169
2020-11-07,65-74,29625
2020-11-07,75+,27149
2020-11-06,0-17,11397
2020-11-06,18-44,102606
2020-11-06,45-64,88908
2020-11-06,65-74,29569
2020-11-06,75+,27105
2020-11-05,0-17,11259
2020-11-05,18-44,102051
2020-11-05,45-64,88661
2020-11-05,65-74,29473
2020-11-05,75+,27061
2020-11-04,0-17,11133
2020-11-04,18-44,101672
2020-11-04,45-64,88492
2020-11-04,65-74,29392
2020-11-04,75+,27016
2020-11-03,0-17,11045
2020-11-03,18-44,101390
2020-11-03,45-64,88327
2020-11-03,65-74,29356
2020-11-03,75+,26997
2020-11-02,0-17,10950
2020-11-02,18-44,101017
2020-11-02,45-64,88164
2020-11-02,65-74,29300
2020-11-02,75+,26952
2020-11-01,0-17,10897
2020-11-01,18-44,100789
2020-11-01,45-64,88045
2020-11-01,65-74,29273
2020-11-01,75+,26932
2020-10-31,0-17,10827
2020-10-31,18-44,100475
2020-10-31,45-64,87901
2020-10-31,65-74,29239
2020-10-31,75+,26910
2020-10-30,0-17,10734
2020-10-30,18-44,100159
2020-10-30,45-64,87739
2020-10-30,65-74,29202
2020-10-30,75+,26877
2020-10-29,0-17,10589
2020-10-29,18-44,99590
2020-10-29,45-64,87462
2020-10-29,65-74,29128
2020-10-29,75+,26825
2020-10-28,0-17,10550
2020-10-28,18-44,99444
2020-10-28,45-64,87377
2020-10-28,65-74,29099
2020-10-28,75+,26813
2020-10-27,0-17,10485
2020-10-27,18-44,99135
2020-10-27,45-64,87255
2020-10-27,65-74,29059
2020-10-27,75+,26790
2020-10-26,0-17,10395
2020-10-26,18-44,98884
2020-10-26,45-64,87089
2020-10-26,65-74,29025
2020-10-26,75+,26763
2020-10-25,0-17,10336
2020-10-25,18-44,98707
2020-10-25,45-64,86998
2020-10-25,65-74,28999
2020-10-25,75+,26749
2020-10-24,0-17,10287
2020-10-24,18-44,98564
2020-10-24,45-64,86897
2020-10-24,65-74,28971
2020-10-24,75+,26727
2020-10-23,0-17,10208
2020-10-23,18-44,97996
2020-10-23,45-64,86667
2020-10-23,65-74,28922
2020-10-23,75+,26686
2020-10-22,0-17,10147
2020-10-22,18-44,97761
2020-10-22,45-64,86552
2020-10-22,65-74,28879
2020-10-22,75+,26655
2020-10-21,0-17,10086
2020-10-21,18-44,97546
2020-10-21,45-64,86434
2020-10-21,65-74,28849
2020-10-21,75+,26644
2020-10-20,0-17,9998
2020-10-20,18-44,97191
2020-10-20,45-64,86256
2020-10-20,65-74,28787
2020-10-20,75+,26611
2020-10-19,0-17,9939
2020-10-19,18-44,96993
2020-10-19,45-64,86155
2020-10-19,65-74,28761
2020-10-19,75+,26608
2020-10-18,0-17,9867
2020-10-18,18-44,96739
2020-10-18,45-64,86030
2020-10-18,65-74,28717
2020-10-18,75+,26581
2020-10-17,0-17,9805
2020-10-17,18-44,96499
2020-10-17,45-64,85902
2020-10-17,65-74,28674
2020-10-17,75+,26565
2020-10-16,0-17,9712
2020-10-16,18-44,96251
2020-10-16,45-64,85760
2020-10-16,65-74,28631
2020-10-16,75+,26547
2020-10-15,0-17,9629
2020-10-15,18-44,95985
2020-10-15,45-64,85630
2020-10-15,65-74,28586
2020-10-15,75+,26515
2020-10-14,0-17,9580
2020-10-14,18-44,95764
2020-10-14,45-64,85517
2020-10-14,65-74,28549
2020-10-14,75+,26496
2020-10-13,0-17,9518
2020-10-13,18-44,95504
